nbytes,chunksize,method,mode,runtime,version,Throughput (Gbps),chunk size (MB)
3200000000,3125000,zarr-obstore,read,1.8576918549997572,,13.780541660394665,3.125
3200000000,781250,zarr-obstore,write,4.017399330000444,,6.372281642212842,0.78125
3200000000,781250,zarr-obstore,read,1.9883902820001822,,12.874736027299521,0.78125
3200000000,200000000,zarr-obstore,write,2.7669251609995626,,9.25214760443752,200.0
3200000000,200000000,zarr-obstore,read,2.778835490000347,,9.212492100421821,200.0
3200000000,50000000,zarr-obstore,write,2.6186828159998186,,9.77590712536366,50.0
3200000000,50000000,zarr-obstore,read,2.114171870000064,,12.108760107568372,50.0
3200000000,12500000,zarr-obstore,write,2.5569388009998875,,10.01197212463167,12.5
3200000000,12500000,zarr-obstore,read,1.816760445,,14.09101572552126,12.5
3200000000,3125000,zarr-obstore,write,2.0045974640006534,,12.770643712633,3.125
3200000000,3125000,zarr-obstore,read,1.8938223420000213,,13.517635436154187,3.125
3200000000,781250,zarr-obstore,write,3.732162541999969,,6.859293964801871,0.78125
3200000000,781250,zarr-obstore,read,1.9740767130006134,,12.968087730029389,0.78125
3200000000,200000000,zarr-obstore,write,2.778066838999621,,9.215041064029451,200.0
3200000000,200000000,zarr-obstore,read,3.863596303000122,,6.625951055010933,200.0
3200000000,50000000,zarr-obstore,write,2.9955368230002932,,8.546047507558045,50.0
3200000000,50000000,zarr-obstore,read,2.2657573710002907,,11.29865021191482,50.0
3200000000,12500000,zarr-obstore,write,2.4348437189992183,,10.514021824169578,12.5
3200000000,12500000,zarr-obstore,read,1.8305580610003744,,13.9848063524464,12.5
3200000000,3125000,zarr-obstore,write,2.0649101279996103,,12.397633995238378,3.125
3200000000,3125000,zarr-obstore,read,1.8878168399996866,,13.560637588127591,3.125
3200000000,781250,zarr-obstore,write,3.70434929700059,,6.9107953779435185,0.78125
3200000000,781250,zarr-obstore,read,1.9685036539995053,,13.004801869677623,0.78125
3200000000,200000000,zarr-obstore,write,2.805698685000607,,9.124286986645702,200.0
3200000000,200000000,zarr-obstore,read,2.701420441000664,,9.47649599871881,200.0
3200000000,50000000,zarr-obstore,write,2.715390194000065,,9.427742670856603,50.0
3200000000,50000000,zarr-obstore,read,1.9621134650005843,,13.04715576170432,50.0
3200000000,12500000,zarr-obstore,write,2.3636853999996674,,10.83054453862752,12.5
3200000000,12500000,zarr-obstore,read,1.8664312520004387,,13.716015509578481,12.5
3200000000,3125000,zarr-obstore,write,2.001388575999954,,12.791119279378053,3.125
3200000000,3125000,zarr-obstore,read,1.8489978979996522,,13.845337535372805,3.125
3200000000,781250,zarr-obstore,write,3.6986767100006546,,6.9213943275392324,0.78125
3200000000,781250,zarr-obstore,read,2.142249508000532,,11.950055259386547,0.78125
3200000000,200000000,zarr-icechunk,write,3.680817976000071,1.1.12,6.954975814321416,200.0
3200000000,200000000,zarr-icechunk,read,2.470560406999539,1.1.12,10.36202147798962,200.0
3200000000,50000000,zarr-icechunk,write,2.731550479999896,1.1.12,9.371966649505584,50.0
